Country,Pop density
Abkhazia,
Afghanistan,44.696
Akrotiri and Dhekelia,
Albania,110.257
Algeria,14.236
American Samoa,327.286
Andorra,173.91
Angola,14.057
Anguilla,158.165
Antigua and Barbuda,194.423
Argentina,14.159
Armenia,103.16
Aruba,579.028
Australia,2.728
Austria,99.094
Azerbaijan,101.859
Bahamas,23.697
Bahrain,1333.909
Bangladesh,999.714
Barbados,631.67
Belarus,46.86
Belgium,345.216
Belize,12.763
Benin,72.034
Bermuda,1217.019
Bhutan,14.651
Bolivia,8.614
Bosnia and Herzegovina,73.814
Botswana,3.313
Brazil,22.292
British Virgin Islands,149.079
Brunei,65.484
Bulgaria,68.886
Burkina Faso,54.968
Burundi,276.92
Cambodia,75.509
Cameroon,38.596
Canada,3.307
Cape Verde,119.768
Cayman Islands,207.117
Central African Republic,6.679
Chad,8.078
Channel Islands,772.764
Chile,21.983
China,137.698
Christmas Island,
Cocos Island,
Colombia,38.943
Comoros,364.644
"Congo, Dem. Rep.",25.917
"Congo, Rep.",10.908
Cook Is,84.157
Costa Rica,87.135
Cote d'Ivoire,57.826
Croatia,78.284
Cuba,101.647
Cyprus,114.909
Czech Republic,130.773
Czechoslovakia,
Denmark,126.912
Djibouti,36.183
Dominica,91.124
Dominican Republic,196.491
East Germany,
Ecuador,48.842
Egypt,76.83
El Salvador,289.951
Equatorial Guinea,22.956
Eritrea,40.804
Eritrea and Ethiopia,
Estonia,29.775
Ethiopia,70.378
Faeroe Islands,34.719
Falkland Is (Malvinas),0.245
Fiji,45.708
Finland,15.645
France,111.958
French Guiana,2.382
French Polynesia,65.336
Gabon,5.319
Gambia,140.89
Georgia,63.357
Germany,231.124
Ghana,95.217
Gibraltar,4882.667
Greece,85.298
Greenland,0.026
Grenada,300.488
Guadeloupe,265.251
Guam,315.727
Guatemala,122.683
Guernsey,
Guinea,38.126
Guinea-Bissau,39.424
Guyana,3.489
Haiti,346.251
Holy See,1022.727
Honduras,63.868
"Hong Kong, China",6253.667
Hungary,107.948
Iceland,2.968
India,357.127
Indonesia,122.055
Iran,43.342
Iraq,66.072
Ireland,61.066
Isle of Man,141.963
Israel,312.494
Italy,197.45
Jamaica,246.478
Japan,334.81
Jersey,
Jordan,63.435
Kazakhstan,5.68
Kenya,64.589
Kiribati,130.913
North Korea,199.179
South Korea,477.198
"United Korea (former)
",
Kosovo,
Kuwait,137.379
Kyrgyz Republic,25.709
Lao,25.048
Latvia,35.32
Lebanon,397.584
Lesotho,69.383
Liberia,31.222
Libya,3.423
Liechtenstein,220.413
Lithuania,51.746
Luxembourg,183.957
"Macao, China",19450.346
"Macedonia, FYR",79.645
Madagascar,32.332
Malawi,114.694
Malaysia,82.011
Maldives,1018.587
Mali,11.305
Malta,1305.722
Marshall Islands,289.983
Martinique,363.975
Mauritania,3.133
Mauritius,625.319
Mayotte,497.118
Mexico,55.776
"Micronesia, Fed. Sts.",156.826
Moldova,108.462
Monaco,23687.919
Mongolia,1.675
Montenegro,45.465
Montserrat,57.304
Morocco,69.446
Mozambique,27.21
Myanmar,69.343
Namibia,2.619
Nauru,483.524
Nepal,192.782
Netherlands,395.961
Netherlands Antilles,239.735
New Caledonia,12.863
New Zealand,15.645
Ngorno-Karabakh,
Nicaragua,42.797
Niger,11.007
Nigeria,159.078
Niue,6.146
Norfolk Island,
Northern Cyprus,
Northern Mariana Islands,138.683
Norway,12.26
Oman,8.275
Pakistan,206.565
Palau,43.83
Panama,44.37
Papua New Guinea,13.82
Paraguay,15.044
Peru,21.915
Philippines,295.509
Pitcairn,
Poland,118.143
Portugal,115.327
Puerto Rico,424.271
Qatar,107.108
Reunion,325.021
Romania,90.796
Russia,8.392
Rwanda,368.689
St. Barthélemy,
St. Helena,35.967
St. Kitts and Nevis,193.314
St. Lucia,313.16
St. Martin,
St. Vincent and the Grenadines,281.082
St.-Pierre-et-Miquelon,25.165
Samoa,64.033
San Marino,508.311
Sao Tome and Principe,163.238
Saudi Arabia,11.864
Senegal,58.329
Serbia,111.282
Serbia and Montenegro,
Serbia excluding Kosovo,
Seychelles,186.758
Sierra Leone,76.363
Singapore,6712.876
Slovak Republic,110.762
Slovenia,99.346
Solomon Islands,17.182
Somalia,13.696
Somaliland,
South Africa,40.001
South Ossetia,
Spain,88.152
Sri Lanka,308.981
Sudan,16.112
Suriname,3.114
Svalbard,
Swaziland,65.25
Sweden,20.36
Switzerland,182.192
Syria,104.338
Taiwan,
Tajikistan,46.153
Tanzania,43.454
Thailand,132.127
Timor-Leste,71.317
Togo,99.548
Tokelau,95.667
Tonga,157.314
Transnistria,
Trinidad and Tobago,258.416
Tunisia,61.918
Turkey,89.326
Turkmenistan,9.955
Turks and Caicos Islands,80.009
Tuvalu,375.462
Uganda,125.872
Ukraine,76.664
United Arab Emirates,64.66
United Kingdom,250.704
United States,31.393
Uruguay,19.058
USSR,
Uzbekistan,59.24
Wallis et Futuna,69.945
Vanuatu,18.244
Venezuela,30.254
West Bank and Gaza,619.312
West Germany,
Western Sahara,1.805
Vietnam,256.287
Virgin Islands (U.S.),315.242
North Yemen (former),
South Yemen (former),
Yemen,41.569
Yugoslavia,
Zambia,16.018
Zimbabwe,31.941
Åland,
South Sudan,
Christian,
Coastline,
Curaçao,
Sint Maarten (Dutch part),
St. Martin (French part),
Antarctica,
"Virgin Islands, British",
Hawaiian Trade Zone,
U.S. Pacific Islands,
Wake Island,
Bonaire,
Sark,
Chinese Taipei,
Saint Eustatius,
Saba,
