Country,health_spend
Abkhazia,
Afghanistan,7.3
Akrotiri and Dhekelia,
Albania,6.9
Algeria,3.5
American Samoa,
Andorra,7.6
Angola,2.5
Anguilla,
Antigua and Barbuda,4.4
Argentina,8.4
Armenia,3.9
Aruba,
Australia,8.5
Austria,10.2
Azerbaijan,5
Bahamas,8.1
Bahrain,3.6
Bangladesh,3.5
Barbados,7
Belarus,6.4
Belgium,9.6
Belize,4.8
Benin,4.6
Bermuda,
Bhutan,5
Bolivia,4.7
Bosnia and Herzegovina,9.8
Botswana,7.9
Brazil,8.5
British Virgin Islands,
Brunei,2.4
Bulgaria,6.8
Burkina Faso,6.3
Burundi,13.9
Cambodia,5
Cameroon,4.7
Canada,10
Cape Verde,4.6
Cayman Islands,
Central African Republic,4.1
Chad,4.2
Channel Islands,
Chile,6.9
China,4.4
Christmas Island,
Cocos Island,
Colombia,7.2
Comoros,4.3
"Congo, Dem. Rep.",6.2
"Congo, Rep.",2.7
Cook Is,4.4
Costa Rica,8.4
Cote d'Ivoire,5.8
Croatia,7.5
Cuba,10.4
Cyprus,6.1
Czech Republic,6.5
Czechoslovakia,
Denmark,9.9
Djibouti,7.7
Dominica,6.1
Dominican Republic,5.4
East Germany,
Ecuador,7
Egypt,4.9
El Salvador,6.3
Equatorial Guinea,1.9
Eritrea,3.2
Eritrea and Ethiopia,
Estonia,5.1
Ethiopia,4.8
Faeroe Islands,
Falkland Is (Malvinas),
Fiji,4.4
Finland,8
France,11.1
French Guiana,
French Polynesia,
Gabon,2.9
Gambia,5.3
Georgia,8.2
Germany,10.5
Ghana,6
Gibraltar,
Greece,9.8
Greenland,
Grenada,6.1
Guadeloupe,
Guam,
Guatemala,7.2
Guernsey,
Guinea,5.4
Guinea-Bissau,5.7
Guyana,5.3
Haiti,5.6
Holy See,
Honduras,5.9
"Hong Kong, China",
Hungary,7.6
Iceland,9.3
India,4
Indonesia,2.7
Iran,5.5
Iraq,4.9
Ireland,7.6
Isle of Man,
Israel,7.4
Italy,8.6
Jamaica,4.9
Japan,8.2
Jersey,
Jordan,8.4
Kazakhstan,3.4
Kenya,4.4
Kiribati,13.6
North Korea,
South Korea,6.3
"United Korea (former)
",
Kosovo,
Kuwait,2.1
Kyrgyz Republic,6.6
Lao,4
Latvia,7
Lebanon,8.4
Lesotho,8.5
Liberia,11.7
Libya,2.8
Liechtenstein,
Lithuania,6.2
Luxembourg,7.1
"Macao, China",
"Macedonia, FYR",6.9
Madagascar,4.1
Malawi,7
Malaysia,3.8
Maldives,6.8
Mali,5.8
Malta,8.7
Marshall Islands,17
Martinique,
Mauritania,4.4
Mauritius,5.2
Mayotte,
Mexico,5.8
"Micronesia, Fed. Sts.",12
Moldova,10.9
Monaco,3.3
Mongolia,4.6
Montenegro,7.8
Montserrat,
Morocco,5.2
Mozambique,4.8
Myanmar,2
Namibia,6.9
Nauru,21.7
Nepal,5.4
Netherlands,9.7
Netherlands Antilles,
New Caledonia,
New Zealand,8.5
Ngorno-Karabakh,
Nicaragua,9.1
Niger,5.4
Nigeria,6
Niue,16.1
Norfolk Island,
Northern Cyprus,
Northern Mariana Islands,
Norway,8.7
Oman,2.5
Pakistan,2.6
Palau,10.8
Panama,6.7
Papua New Guinea,3.2
Paraguay,6.1
Peru,5.1
Philippines,3.4
Pitcairn,
Poland,6.4
Portugal,10
Puerto Rico,
Qatar,2.4
Reunion,
Romania,5.2
Russia,5.4
Rwanda,9.5
St. Barthí©lemy,
St. Helena,
St. Kitts and Nevis,5.4
St. Lucia,7.2
St. Martin,
St. Vincent and the Grenadines,3.9172185
St.-Pierre-et-Miquelon,
Samoa,5.86637027
San Marino,7.108691
Sao Tome and Principe,7.45394716
Saudi Arabia,3.82925982
Senegal,5.7243396
Serbia,10.35888797
Serbia and Montenegro,
Serbia excluding Kosovo,
Seychelles,3.44997619
Sierra Leone,12.83727079
Singapore,3.18562573
Slovak Republic,7.75529417
Slovenia,7.78702228
Solomon Islands,6.23455413
Somalia,
Somaliland,
South Africa,8.45183383
South Ossetia,
Spain,8.48290507
Sri Lanka,3.72762308
Sudan,6.02544967
Suriname,7.27578894
Svalbard,
Swaziland,5.98251975
Sweden,8.91722313
Switzerland,10.61914519
Syria,3.79904048
Taiwan,
Tajikistan,5.34676664
Tanzania,5.69457916
Thailand,3.56224555
Timor-Leste,15.43030368
Togo,6.56043454
Tokelau,
Tonga,6.76640835
Transnistria,
Trinidad and Tobago,4.82359145
Tunisia,6.15891119
Turkey,6.0371564
Turkmenistan,2.49859259
Turks and Caicos Islands,
Tuvalu,16.48224647
Uganda,8.39286192
Ukraine,6.35521436
United Arab Emirates,2.52218902
United Kingdom,8.41400829
United States,16.05489478
Uruguay,7.85171899
USSR,
Uzbekistan,5.53763644
Wallis et Futuna,
Vanuatu,3.77234657
Venezuela,5.80499325
West Bank and Gaza,
West Germany,
Western Sahara,
Vietnam,6.99046528
Virgin Islands (U.S.),
North Yemen (former),
South Yemen (former),
Yemen,5.31281633
Yugoslavia,
Zambia,5.83397389
Zimbabwe,
